分类,风格提示词
摄影手法,镜头推拉交替+混乱感增强
摄影手法,倒放镜头+时间回溯
摄影手法,交叉剪辑+不同时间线融合
摄影手法,镜头隐藏过渡+遮挡转场
摄影手法,渐显过度+光晕亮起
摄影手法,拉远切黑+暗示场景结束
摄影手法,慢拉近嘴角微笑+强化情绪
摄影手法,反光转场+镜面滑动
摄影手法,水面倒影接镜头+上下反转
摄影手法,分层镜头语言+远中近同时推进
摄影手法,主观镜头中插手部特写
摄影手法,慢变焦压缩空间+心理压迫
摄影手法,偏移构图+画面不稳定感
摄影手法,直线拉动轨道感+强烈动感
摄影手法,角色遮挡快速切换+节奏强
摄影手法,镜头穿墙接空间+无缝变化
摄影手法,边缘暗角镜头+集中焦点
平台风格,小红书情绪配文风格+细文字+背景虚焦
平台风格,抖音挑战赛卡点风+快剪+特效音符
平台风格,Tiktok换装循环剪辑+对比前后
平台风格,Youtube长篇Vlog风+节奏轻松+真实语音
平台风格,淘宝商品讲解风+放大展示+解说口播
平台风格,B站二创视频风格+搞笑剪辑+表情包
平台风格,Instagram生活记录风+滤镜轻暖+低饱和
平台风格,TVC广告感视频风+LOGO飞入+镜头干净
平台风格,短剧热剧预告风+闪回+字幕压场
平台风格,汽车测评视频风+低角度跟拍+引擎声同步
平台风格,教育讲解视频风+白底+手势板书
平台风格,知识类爆款短视频风+快语音+图文混剪
平台风格,品牌预热视频风+慢推+标语字幕
平台风格,抖音剧情反转类短剧风+黑白分隔镜头
平台风格,商拍场景风+构图考究+产品核心突出
平台风格,节日祝福类视频风+模板切换+庆祝音乐
平台风格,科普动画视频风格+拟人+小人插图
平台风格,悬疑剧情感风格+偏冷色+叠化闪现
平台风格,宠物搞笑混剪风格+变声+字幕突出
平台风格,街头采访短视频风格+字幕飞入+环境声真实
影视风格,青春日剧风格：清淡色调+浅景深+柔和光线
影视风格,英伦剧情风格：暗色复古+室内烛光+对称构图
影视风格,战地纪实风格：手持抖动+高对比+爆炸环境
影视风格,赛博东亚风：汉字霓虹+摩天楼林立+杂乱城市
影视风格,欧美独立电影风：低饱和+空镜+叙事碎片化
影视风格,短剧穿越风格：古今混搭+快速变装+场景拼接
影视风格,荒野生存剧风：自然光+环境音强+沉浸追随
影视风格,法语爱情片风格：长镜+低语对白+街拍质感
影视风格,恐怖片风格：压暗光线+突变音效+主观镜头
影视风格,真人童话风格：饱和梦境色+慢节奏
影视风格,末世电影风格：破败城市+灰黄色调+广角
影视风格,谍战片风格：暗房+电话亭+帽子眼神特写
影视风格,俄式冷战风格：蓝灰调+低色温+大量字幕叠加
影视风格,童年回忆片风格：黄调复古+慢镜头+自然音效
影视风格,警探剧风格：玻璃写字板+白板推理+悬疑配乐
影视风格,玄幻国风片：飘带+云雾特效+红青对撞
影视风格,罪案还原剧风：现场还原+旁白+模糊人物
影视风格,日式深夜剧风格：微光环境+封闭空间+吃饭动作
影视风格,末日旅人风格：破败+独行+极简对话
影视风格,希区柯克悬疑风：固定机位+交替剪辑+低音乐
画面质感,压印纹理+棉纸肌理
画面质感,水墨扩散风格+柔化边界
画面质感,玻璃磨砂感+模糊斑点
画面质感,瓷砖蓝调反射+边角清晰
画面质感,折纸层叠感+立体分割
画面质感,幻彩渐变光+反射折射感
画面质感,编织纹理感+纸织视觉
画面质感,彩笔涂鸦风格+边缘跳色
画面质感,霓虹重影画质+偏色模糊
画面质感,古画纸本感+斑驳色块
画面质感,石头裂纹风格+硬边界感
画面质感,数字虚焦风+像素模糊融合
画面质感,海报风构图+边框和笔触
画面质感,铁锈斑驳感+工业老旧
画面质感,亚克力质感+高光透亮
画面质感,指纹涂抹风格+残缺边缘
画面质感,布料纹理感+轻柔颗粒
画面质感,星轨叠加质感+动态光纹
画面质感,陶瓷釉面质感+清亮饱和
画面质感,闪粉质感+舞台背景感
灯光色调,湖边日落金黄光+水波反射
灯光色调,工地夜间强光+强烈阴影
灯光色调,天台霓虹光+人物剪影
灯光色调,红色信号灯+慢节奏光影
灯光色调,彩带反射光+运动虚化
灯光色调,警示灯旋转闪烁+黑背景
灯光色调,月光打脸侧光+蓝色主调
灯光色调,公交夜景外射灯+窗户投影
灯光色调,节日彩灯混色+跳动频率
灯光色调,照相机闪光灯+画面爆白
灯光色调,激光灯横扫+舞台感强
灯光色调,绿植下散射光+柔焦+自然
灯光色调,高光阴影交替灯光+强结构
灯光色调,信号灯三色跳变+场景定格
灯光色调,落地灯光环+暖色渐变
灯光色调,热带阳光硬打光+清晰投影
灯光色调,仓库天窗光柱+尘埃可见
灯光色调,隧道尾光+暗部拖影
灯光色调,地铁车厢荧光灯+人物打亮
灯光色调,办公室投影灯打脸+背面阴影
摄影手法,建筑穿越镜头+楼层不断切换
摄影手法,倒地视角拍摄+倒影突出
摄影手法,车内后视镜镜头+人物交替露出
摄影手法,快速镜头推进+情绪高涨
摄影手法,过场黑屏节奏+音效匹配
摄影手法,全景叠化转场+人物定格
摄影手法,正上方旋转俯拍+集体行为聚焦
摄影手法,环绕定焦变景深+人静背景变
摄影手法,镜头从布帘中探出+渐显角色
摄影手法,走廊延伸镜头+推入紧张空间
摄影手法,俯冲镜头+快速压迫感
摄影手法,水下仰拍+气泡动态
摄影手法,地面跟拍奔跑动作+碎石飞溅
摄影手法,突然抬镜头+人物遮光进入
摄影手法,镜头切近+表情震颤细节
摄影手法,倒置还原镜头+画面旋转配乐
摄影手法,爆炸慢速推进+人物背影对光
摄影手法,纵深切换+长走廊时间错觉
摄影手法,倒放+物体回收特写
摄影手法,转场碰撞剪辑+冲击配乐
平台风格,短剧竖屏分镜感+人物遮挡切换
平台风格,小红书滤镜测评风+左右对比
平台风格,抖音美妆三连展示+卡点特写
平台风格,Tiktok人物定格变装+三段结构
平台风格,B站语录混剪风+情绪带字幕
平台风格,品牌口播广告+LOGO落版+快节奏
平台风格,长篇Vlog节奏剪+旅拍配音
平台风格,电影解说短视频风+画外音+字幕分段
平台风格,学习类竖屏快语速+图表飞入
平台风格,生活日常安静风+自然光+ASMR音效
平台风格,宠物拟人化配音视频+弹幕感字幕
平台风格,短视频动画转绘风格+漫画风镜头
平台风格,AI换装视频风+模型切换+镜头定格
平台风格,产品对比实测视频风+标签标尺
平台风格,情侣反应类视频风+多角度切换
平台风格,街头实拍互动视频+人物突入+快剪
平台风格,拆箱评测视频风+缓慢开盒+局部特写
平台风格,短剧类角色台词字幕+表情突出
平台风格,新闻速览类视频风+拼贴画面+高音效节奏
平台风格,短篇纪录类风格+慢镜长景+自然环境音
